,ID,Text,Sentiment (Label),Timestamp,User,Source,Topic,Retweets,Likes,Country,Year,Month,Day,Hour,new_sentiment,new_text,Topic1,Topic2
0,0, Enjoying a beautiful day at the park!              , Positive  ,1/15/2023 12:30, User123      , Twitter  ,Nature  Park                            ,15,30, USA      ,2023,1,15,12,Positive,"['enjoying', 'beautiful', 'day', 'park']",Nature, Park                            
1,1, Traffic was terrible this morning.                 , Negative  ,1/15/2023 8:45, CommuterX    , Twitter  ,Traffic  Morning                        ,5,10, Canada   ,2023,1,15,8,Negative,"['traffic', 'terrible', 'morning']",Traffic, Morning                        
2,2, Just finished an amazing workout! 💪               , Positive  ,1/15/2023 15:45, FitnessFan   , Instagram ,Fitness  Workout                        ,20,40, USA        ,2023,1,15,15,Positive,"['finished', 'amazing', 'workout']",Fitness, Workout                        
3,3, Excited about the upcoming weekend getaway!        , Positive  ,1/15/2023 18:20, AdventureX   , Facebook ,Travel  Adventure                       ,8,15, UK       ,2023,1,15,18,Positive,"['excited', 'upcoming', 'weekend', 'getaway']",Travel, Adventure                       
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,1/15/2023 19:55, ChefCook     , Instagram ,Cooking  Food                           ,12,25, Australia ,2023,1,15,19,Neutral,"['trying', 'new', 'recipe', 'dinner', 'tonight']",Cooking, Food                           
5,5, Feeling grateful for the little things in life.    , Positive  ,1/16/2023 9:10, GratitudeNow , Twitter  ,Gratitude  PositiveVibes              ,25,50, India    ,2023,1,16,9,Positive,"['feeling', 'grateful', 'little', 'thing', 'life']",Gratitude, PositiveVibes              
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,1/16/2023 14:45, RainyDays    , Facebook ,RainyDays  Cozy                         ,10,20, Canada   ,2023,1,16,14,Positive,"['rainy', 'day', 'call', 'cozy', 'blanket', 'hot', 'cocoa']",RainyDays, Cozy                         
7,7, The new movie release is a must-watch!             , Positive  ,1/16/2023 19:30, MovieBuff    , Instagram ,MovieNight  MustWatch                  ,15,30, USA    ,2023,1,16,19,Positive,"['new', 'movie', 'release', 'mustwatch']",MovieNight, MustWatch                  
8,8, Political discussions heating up on the timeline.  , Negative  ,1/17/2023 8:00, DebateTalk   , Twitter  ,Politics  Debate                       ,30,60, USA      ,2023,1,17,8,Negative,"['political', 'discussion', 'heating', 'timeline']",Politics, Debate                       
9,9, Missing summer vibes and beach days.               , Neutral   ,1/17/2023 12:20, BeachLover   , Facebook ,Summer  BeachDays                      ,18,35, Australia ,2023,1,17,12,Neutral,"['missing', 'summer', 'vibe', 'beach', 'day']",Summer, BeachDays                      
10,10, Just published a new blog post. Check it out!      , Positive  ,1/17/2023 15:15, BloggerX     , Instagram ,Blogging  NewPost                      ,22,45,USA,2023,1,17,15,Positive,"['published', 'new', 'blog', 'post', 'check']",Blogging, NewPost                      
11,11, Feeling a bit under the weather today.             , Negative  ,1/18/2023 10:30, WellnessCheck, Twitter  ,SickDay  Health                        ,7,15, Canada   ,2023,1,18,10,Negative,"['feeling', 'bit', 'weather', 'today']",SickDay, Health                        
12,12, Exploring the city's hidden gems.                  , Positive  ,1/18/2023 14:50, UrbanExplorer, Facebook ,CityExplore  HiddenGems                ,12,25, UK       ,2023,1,18,14,Positive,"['exploring', 'city', 'hidden', 'gem']",CityExplore, HiddenGems                
13,13," New year, new fitness goals! 💪                    ", Positive  ,1/18/2023 18:00, FitJourney   , Instagram ,NewYear  FitnessGoals                  ,28,55, USA        ,2023,1,18,18,Positive,"['new', 'year', 'new', 'fitness', 'goal']",NewYear, FitnessGoals                  
14,14, Technology is changing the way we live.            , Neutral   ,1/19/2023 9:45, TechEnthusiast, Twitter  ,Tech  Innovation                       ,15,30, India    ,2023,1,19,9,Neutral,"['technology', 'changing', 'way', 'live']",Tech, Innovation                       
15,15, Reflecting on the past and looking ahead.          , Positive  ,1/19/2023 13:20, Reflections  , Facebook ,Reflection  Future                     ,20,40, USA      ,2023,1,19,13,Positive,"['reflecting', 'past', 'looking', 'ahead']",Reflection, Future                     
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,1/19/2023 17:10, PetAdopter   , Instagram ,PetAdoption  FurryFriend               ,15,30, Canada    ,2023,1,19,17,Positive,"['adopted', 'cute', 'furry', 'friend']",PetAdoption, FurryFriend               
17,17, Late-night gaming session with friends.            , Positive  ,1/20/2023 0:05, GamerX       , Twitter  ,Gaming  LateNight                      ,18,35, UK       ,2023,1,20,0,Positive,"['latenight', 'gaming', 'session', 'friend']",Gaming, LateNight                      
18,18, Attending a virtual conference on AI.              , Neutral   ,1/20/2023 11:30, TechConference, Facebook ,AI  TechConference                     ,25,50,USA,2023,1,20,11,Neutral,"['attending', 'virtual', 'conference', 'ai']",AI, TechConference                     
19,19, Winter blues got me feeling low.                   , Negative  ,1/20/2023 15:15, WinterBlues  , Instagram ,WinterBlues  Mood                      ,8,15, USA       ,2023,1,20,15,Negative,"['winter', 'blue', 'got', 'feeling', 'low']",WinterBlues, Mood                      
20,20, Sipping coffee and enjoying a good book.           , Positive  ,1/21/2023 8:40, Bookworm     , Twitter  ,Reading  CoffeeTime                    ,22,45, India    ,2023,1,21,8,Positive,"['sipping', 'coffee', 'enjoying', 'good', 'book']",Reading, CoffeeTime                    
21,21, Exploring the world of virtual reality.            , Positive  ,1/21/2023 13:20, VRExplorer   , Facebook ,VR  VirtualReality                     ,15,30,USA,2023,1,21,13,Positive,"['exploring', 'world', 'virtual', 'reality']",VR, VirtualReality                     
22,22, Productive day ticking off my to-do list.          , Positive  ,1/21/2023 16:45, ProductivityPro, Instagram ,Productivity  WorkFromHome           ,30,60, USA ,2023,1,21,16,Positive,"['productive', 'day', 'ticking', 'todo', 'list']",Productivity, WorkFromHome           
23,23, Just finished a challenging workout routine.       , Positive  ,1/22/2023 9:15, FitnessWarrior, Twitter  ,Fitness  ChallengeAccepted             ,20,40, UK       ,2023,1,22,9,Positive,"['finished', 'challenging', 'workout', 'routine']",Fitness, ChallengeAccepted             
24,24, Celebrating a milestone at work! 🎉               , Positive  ,1/22/2023 14:30, CareerMilestone, Facebook ,Career  Milestone                      ,12,25, Canada  ,2023,1,22,14,Positive,"['celebrating', 'milestone', 'work']",Career, Milestone                      
25,25, Sunday brunch with friends.                        , Positive  ,1/22/2023 12:00, BrunchBuddy  , Instagram ,Brunch  Friends                       ,15,30, UK ,2023,1,22,12,Positive,"['sunday', 'brunch', 'friend']",Brunch, Friends                       
26,28, Learning a new language for personal growth.       , Positive  ,1/23/2023 16:20, LanguageLearner, Facebook ,LanguageLearning  PersonalGrowth       ,25,50, India     ,2023,1,23,16,Positive,"['learning', 'new', 'language', 'personal', 'growth']",LanguageLearning, PersonalGrowth       
27,29, Quiet evening with a good book.                    , Positive  ,1/23/2023 19:45, BookLover    , Instagram ,Reading  QuietTime                     ,15,30, Australia ,2023,1,23,19,Positive,"['quiet', 'evening', 'good', 'book']",Reading, QuietTime                     
28,30, Reflecting on the importance of mental health.     , Positive  ,1/24/2023 11:30, MentalHealthMatters, Twitter  ,MentalHealth  SelfCare                 ,22,45, USA      ,2023,1,24,11,Positive,"['reflecting', 'importance', 'mental', 'health']",MentalHealth, SelfCare                 
29,31, New painting in progress! 🎨                       , Positive  ,1/24/2023 15:00, ArtistInAction, Facebook ,Art  PaintingInProgress             ,12,25, Canada ,2023,1,24,15,Positive,"['new', 'painting', 'progress']",Art, PaintingInProgress             
30,32, Weekend road trip to explore scenic views.         , Positive  ,1/24/2023 17:30, RoadTripper  , Instagram ,RoadTrip  ScenicViews                  ,18,35, UK        ,2023,1,24,17,Positive,"['weekend', 'road', 'trip', 'explore', 'scenic', 'view']",RoadTrip, ScenicViews                  
